CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,161,-3,21,-,"1,880.00",-201.10,150,"1,871.20","1,962.90",750,"22,800.00",75,4.60,4.65,525,3.35,4.65,29.72,"6,93,178","50,260","1,04,008",
,13,-,-,-,-,-,75,"1,806.80","1,909.60",150,"22,850.00",75,4.75,5.20,375,3.50,4.75,29.30,"1,84,683","5,172","25,374",
,19,-,7,-,"1,770.00",-291.20,75,"1,764.70","1,814.35",75,"22,900.00","1,350",5.50,6.00,"1,125",4.00,5.50,29.20,"1,67,939","7,219","11,936",
,3,-,6,-,"1,756.55",-137.95,150,"1,706.35","1,814.50",150,"22,950.00",750,5.95,6.45,"1,650",4.75,6.45,28.94,"80,528","3,520","3,980",
,637,-6,124,-,"1,707.40",-180.35,75,"1,690.30","1,718.85",75,"23,000.00",525,7.05,7.15,150,5.30,7.15,28.69,"4,98,838","38,481","65,888",
,3,-,1,-,"1,656.70",-205.70,225,"1,611.25","1,715.30",150,"23,050.00",75,7.10,7.55,375,5.25,7.25,28.22,"68,285","1,935","2,864",
,29,-4,7,-,"1,567.65",-256.90,75,"1,559.45","1,619.15",75,"23,100.00",150,7.70,8.05,150,5.90,8.00,27.88,"1,68,877","6,419","11,013",
,5,1,2,-,"1,517.10",-180.75,150,"1,512.65","1,618.40",750,"23,150.00",975,8.15,8.95,75,6.55,8.85,27.34,"1,01,917","3,276","4,616",
,7,-,-,-,-,-,150,"1,454.20","1,567.20",150,"23,200.00",675,9.05,9.40,900,7.00,9.35,27.09,"1,94,941","8,840","16,621",
,6,-,-,-,-,-,150,"1,405.70","1,517.00",150,"23,250.00",75,9.85,10.05,375,7.25,9.90,26.65,"99,495","3,573","5,022",
,31,-,9,-,"1,390.00",-207.30,225,"1,364.40","1,418.75",75,"23,300.00",375,10.70,10.80,375,8.10,10.80,26.27,"2,07,286","5,246","15,498",
,19,-,5,-,"1,288.20",-246.80,300,"1,312.15","1,420.55",150,"23,350.00",225,11.30,11.90,300,8.20,11.25,25.88,"87,752","3,839","4,792",
,26,-,19,-,"1,308.00",-177.00,150,"1,266.05","1,321.00",75,"23,400.00",150,12.30,12.70,150,8.85,12.30,25.31,"2,14,527","12,846","19,348",
,4,-2,15,-,"1,258.50",-211.45,75,"1,214.90","1,319.65",75,"23,450.00",300,13.05,13.90,300,9.35,13.05,24.88,"89,679","1,963","4,363",
,390,-15,398,-,"1,218.00",-160.80,150,"1,210.00","1,222.40",75,"23,500.00","1,725",14.15,14.60,"1,200",10.35,14.50,24.62,"5,72,843","35,915","1,01,931",
,38,3,13,-,"1,145.00",-315.15,300,"1,117.25","1,221.40",150,"23,550.00",375,14.70,15.95,150,10.60,14.95,23.95,"1,04,596","2,197","4,910",
,98,-3,41,-,"1,108.00",-192.00,450,"1,068.35","1,172.50",750,"23,600.00",225,16.20,16.85,225,11.50,16.20,23.69,"2,55,382","7,707","20,619",
,14,4,20,-,"1,065.00",-203.15,300,"1,019.50","1,123.70",300,"23,650.00",300,17.55,18.45,900,12.40,17.60,23.27,"1,51,642","3,243","6,981",
,82,7,95,-,"1,015.50",-183.55,150,"1,007.70","1,050.60",150,"23,700.00",150,19.00,19.65,75,13.15,18.90,22.76,"3,31,134","8,302","17,541",
,8,4,24,-,955.20,-231.60,150,923.05,"1,026.80",750,"23,750.00",75,20.20,21.30,75,13.95,20.20,22.20,"1,43,638","2,579","5,509",
,409,18,296,-,913.50,-177.50,150,911.50,948.50,300,"23,800.00",450,22.55,23.05,525,16.05,22.85,21.81,"4,33,998","32,180","48,525",
,17,7,29,-,839.00,-242.45,150,827.05,930.50,300,"23,850.00",150,24.10,25.35,75,17.40,25.30,21.39,"1,77,697","-1,005","6,646",
,286,75,489,-,834.30,-188.30,150,818.15,831.00,375,"23,900.00",225,27.05,27.80,225,18.45,27.05,20.92,"3,17,587","13,810","28,363",
,81,19,169,-,789.10,-146.30,300,732.70,835.40,300,"23,950.00",450,29.65,31.00,675,20.10,29.85,20.66,"1,77,406","3,344","6,991",
,"4,498","2,318","18,518",-,731.90,-173.75,75,730.00,735.75,75,"24,000.00",150,33.50,34.00,"10,575",22.50,33.50,20.22,"12,23,849","23,915","93,585",
,42,19,233,-,697.40,-193.80,600,640.10,694.35,150,"24,050.00",150,37.15,37.65,150,24.50,37.20,19.84,"1,96,820",976,"8,049",
,813,139,"2,342",-,644.00,-168.80,75,631.70,645.75,150,"24,100.00",150,40.65,41.30,75,27.20,41.30,19.41,"4,15,714","11,725","32,813",
,156,81,832,-,599.40,-206.00,150,541.70,612.70,300,"24,150.00",75,45.60,46.25,75,28.75,45.50,19.15,"2,52,634","2,373","7,289",
,"1,174",841,"10,489",-,549.50,-168.90,75,544.10,555.70,75,"24,200.00",225,51.30,51.60,450,33.00,51.60,18.78,"7,23,293","-4,189","33,340",
,149,81,"2,456",-,519.25,-128.65,375,491.60,512.30,900,"24,250.00",225,57.70,58.00,600,35.45,57.85,18.46,"3,22,751","4,291","12,286",
,"1,452",884,"25,982",-,468.45,-166.00,150,457.30,469.00,225,"24,300.00",150,65.05,65.50,75,38.80,65.50,18.19,"7,32,254","14,675","38,380",
,569,416,"15,698",7.64,422.50,-146.90,75,420.00,436.50,150,"24,350.00",150,73.40,73.95,150,41.50,73.00,17.89,"3,61,458","5,196","11,810",
,"2,283","1,613","90,633",7.91,384.00,-147.90,150,374.45,387.15,150,"24,400.00",75,83.25,83.85,150,46.45,83.25,17.65,"8,53,440","9,871","35,375",
,"1,016",841,"57,584",9.56,343.00,-142.40,450,340.40,348.75,225,"24,450.00",150,94.35,94.85,75,50.40,94.85,17.46,"4,70,180","6,736","11,268",
,"13,128","9,853","4,81,440",10.12,309.10,-138.65,75,306.50,308.40,450,"24,500.00",150,107.00,108.00,"4,500",55.15,107.00,17.33,"16,02,846","35,603","70,776",
,"3,167","2,805","2,47,122",10.49,274.95,-129.40,75,271.00,272.10,150,"24,550.00",150,122.60,123.40,450,62.30,123.30,17.17,"5,93,152","9,317","14,925",
,"21,244","18,512","13,89,432",10.66,238.50,-124.05,450,237.45,238.50,150,"24,600.00",150,138.90,139.70,150,66.85,139.65,16.99,"17,66,243","31,390","50,737",
,"14,955","14,430","10,95,716",10.79,207.00,-125.45,75,207.00,207.90,150,"24,650.00",150,158.40,159.40,150,73.15,158.65,16.97,"10,38,485","16,639","21,581",
,"40,100","36,600","20,36,092",10.88,178.70,-117.25,150,177.80,178.70,225,"24,700.00",450,179.10,180.00,"2,475",79.60,180.00,16.95,"15,89,335","29,935","52,779",
,"16,590","14,550","8,73,235",11.09,152.00,-111.95,"2,475",152.00,152.60,150,"24,750.00",525,202.95,203.85,75,87.90,203.85,16.94,"4,09,985","5,390","11,715",
,"39,235","26,458","13,27,809",11.16,129.05,-104.60,150,128.60,129.10,600,"24,800.00",300,228.70,229.50,225,95.25,229.35,17.00,"4,54,132","-3,724","25,026",
,"14,867","6,571","7,17,292",11.30,108.90,-95.10,150,107.50,108.20,300,"24,850.00",225,257.85,259.75,150,101.20,256.85,17.26,"78,573","-4,292","6,478",
,"43,981","7,735","10,78,688",11.41,89.75,-88.90,300,89.10,89.65,150,"24,900.00",300,287.90,290.00,750,111.10,286.95,17.41,"1,58,052","-15,596","17,160",
,"15,661","4,329","4,76,651",11.48,74.05,-80.55,150,73.60,74.15,150,"24,950.00",75,320.95,324.75,75,123.25,324.90,17.75,"20,854","-2,037","3,835",
